Date,Total_deposits,Households_total,Households_manat_demand,Households_manat_time,Households_fx_demand,Households_fx_time,Financial_corporations_total,Financial_corporations_manat_demand,Financial_corporations_manat_time,Financial_corporations_fx_demand,Financial_corporations_fx_time,Non_financial_corporations_total,Non_financial_corporations_manat_demand,Non_financial_corporations_manat_time,Non_financial_corporations_fx_demand,Non_financial_corporations_fx_time
2,"24934,6","8694,4","1491,3","2631,5","1600,5","2971,1","2043,1","178,4","447,8","215,4","1201,5","14197,0","4845,3","218,1","5456,9","3676,8"
3,"24085,1","8251,7","1334,2","2367,5","1482,1","3067,9","2385,4","204,1","523,6","354,2","1303,5","13448,0","4389,1","239,4","5316,2","3503,3"
4,"23380,8","7758,0","1413,2","2067,8","1428,6","2848,4","2378,2","251,7","545,9","241,7","1339,0","13244,6","4367,2","307,3","5113,0","3457,2"
5,"23357,3","7661,3","1618,6","1909,8","1348,5","2784,5","2371,1","263,1","541,0","249,1","1317,8","13324,9","4499,3","297,5","5164,6","3363,5"
6,"22565,5","7706,4","1623,9","1921,0","1394,3","2767,2","2093,5","173,6","467,9","302,8","1149,2","12765,6","4440,7","303,1","4447,1","3574,7"
7,"22532,1","7774,2","1650,8","2034,2","1407,7","2681,6","2077,6","167,7","492,1","276,0","1141,8","12680,3","4569,2","313,4","4195,8","3601,9"
8,"22727,8","7874,4","1484,2","2094,9","1418,1","2877,2","2069,7","181,8","489,8","267,4","1130,7","12783,7","4694,2","306,9","4562,5","3220,1"
9,"22495,1","7834,2","1513,2","2100,4","1409,1","2811,5","2019,0","171,6","478,6","267,9","1101,0","12641,9","4872,3","408,9","4521,8","2838,9"
10,"22442,1","7870,3","1591,8","2105,2","1385,9","2787,4","1961,4","177,3","463,4","284,9","1035,9","12610,3","4900,0","329,9","4451,3","2929,1"
11,"22305,8","7908,2","1659,5","2082,6","1471,6","2694,5","1929,5","195,3","444,8","253,0","1036,4","12468,0","4449,6","474,2","4609,7","2934,5"
12,"23666,9","8177,9","1886,8","2140,3","1487,6","2663,2","1885,1","189,1","414,0","315,3","966,7","13603,9","5340,7","357,0","4893,3","3012,9"
2021,,,,,,,,,,,,,,,,
1,"23189,3","8202,9","1868,7","2178,8","1566,4","2589,0","1833,4","188,0","395,6","292,6","957,2","13153,0","5030,2","438,5","4675,5","3008,8"
2,"23489,1","8379,9","1952,0","2227,6","1626,7","2573,6","1754,2","186,9","368,4","292,3","906,6","13355,0","5229,7","456,4","4742,9","2925,9"
3,"23825,9","8147,5","1737,6","2308,3","1589,1","2512,5","1706,2","182,7","349,2","280,4","893,8","13972,3","5692,2","462,6","4856,6","2960,9"
4,"24213,2","8352,9","1862,4","2422,8","1575,6","2492,1","1887,2","337,2","360,8","281,9","907,3","13973,2","5798,6","466,3","4733,8","2974,5"
5,"24991,2","8635,2","2257,2","2484,4","1382,0","2511,5","1878,1","253,5","389,7","314,4","920,5","14478,0","6053,4","458,2","4822,8","3143,6"
6,"24156,6","8435,4","2038,5","2543,3","1374,8","2478,9","1775,3","205,8","396,0","249,6","924,0","13945,8","6024,3","472,7","5368,8","2080,0"
7,"24926,9","8605,9","2127,4","2633,7","1374,0","2470,8","1793,3","183,7","424,1","239,8","945,6","14527,7","5951,4","502,0","5797,0","2277,3"
8,"24791,9","8559,1","2027,7","2703,3","1348,9","2479,2","1758,9","185,8","415,2","218,6","939,2","14473,9","6340,7","441,2","5407,5","2284,4"
9,"25705,5","8838,1","2190,4","2794,7","1396,2","2456,8","1792,1","176,3","414,5","250,3","951,0","15075,2","6434,7","500,7","6055,2","2084,6"
10,"26114,8","8887,4","2184,0","2859,4","1428,9","2415,1","2003,4","186,1","392,2","447,7","977,4","15224,0","6561,9","500,2","6096,5","2065,4"
11,"26790,9","9051,7","2358,6","2896,2","1410,2","2386,7","1821,0","202,3","397,8","258,0","963,0","15918,1","6750,5","523,8","6603,1","2040,8"
12,"29027,7","9241,5","2489,5","2962,7","1390,6","2398,7","1892,7","234,0","444,6","259,4","954,7","17893,6","8030,7","520,3","7325,0","2017,6"
2022,,,,,,,,,,,,,,,,
1,"29017,0","9635,8","2845,2","3003,4","1380,0","2407,1","1894,0","264,6","433,8","266,6","929,0","17487,2","7079,1","516,0","7898,2","1993,8"
2,"29170,8","10036,7","2923,9","3058,9","1661,4","2392,5","1962,9","292,9","514,6","255,4","899,9","17171,3","6967,3","503,8","7701,3","1999,0"
3,"30508,5","10372,0","2903,3","3081,6","1947,4","2439,7","2231,9","430,3","527,9","340,1","933,5","17904,6","7455,6","483,0","8028,2","1937,8"
4,"30890,4","10515,4","3180,4","3167,1","1741,2","2426,7","2309,6","488,4","557,4","385,5","878,3","18065,4","7314,3","485,6","8359,3","1906,1"
5,"32025,3","10593,2","2987,4","3241,2","1931,5","2433,1","2319,9","458,6","553,9","466,6","840,8","19112,1","8044,6","485,2","8723,3","1859,0"
6,"32417,1","10596,2","2995,2","3338,7","1848,6","2413,7","2375,1","383,6","585,9","588,2","817,4","19445,9","8338,6","535,9","8390,8","2180,6"
7,"31957,3","10817,1","3090,6","3412,2","1895,3","2419,0","2191,1","254,3","596,2","423,4","917,1","18949,1","7821,9","684,9","8254,8","2187,4"
8,"32836,1","10858,4","3047,1","3501,1","1915,3","2394,9","2206,9","274,9","583,0","443,2","905,8","19770,8","8532,6","697,7","8352,6","2187,9"
9,"33957,0","11225,7","3247,0","3576,8","2000,6","2401,3","2401,1","291,6","655,7","583,6","870,2","20330,1","8822,2","697,5","8633,2","2177,2"
10,"34806,3","11500,0","3423,0","3635,7","2089,1","2352,2","2439,4","265,2","706,5","610,2","857,4","20866,8","9286,6","723,8","8650,9","2205,6"
11,"35484,2","11588,6","3394,7","3687,9","2121,7","2384,3","2446,0","255,8","722,6","590,5","877,2","21449,5","9277,3","781,7","9191,6","2199,0"
12,"36249,8","11743,0","3349,2","3790,2","2173,5","2430,1","2481,8","426,2","717,8","588,5","749,4","22025,0","9611,7","809,5","9377,2","2226,6"
2023,,,,,,,,,,,,,,,,
1,"35552,9","11928,5","3428,4","3871,1","2289,6","2339,4","2521,7","443,6","726,9","519,6","831,7","21102,6","8931,3","824,9","9171,2","2175,3"
2,"35179,2","11901,8","3414,4","3884,1","2121,8","2481,5","2555,6","438,3","828,4","492,4","796,6","20721,8","8557,7","917,7","8780,5","2466,0"
3,"34554,8","11964,4","3479,6","3918,1","2142,6","2424,1","2640,3","445,2","842,0","521,6","831,5","19950,2","9035,9","943,2","7497,3","2473,7"
4,"35202,4","12211,6","3707,8","3957,6","2112,2","2434,1","2909,8","537,5","810,8","742,3","819,2","20081,0","8912,3","990,0","7678,8","2499,9"
5,"35393,1","12400,7","3638,2","4048,6","2293,8","2420,1","2730,8","479,4","757,5","702,2","791,7","20261,6","9099,2","1085,3","7599,7","2477,4"
6,"34512,9","12748,8","3919,3","4168,2","2219,0","2442,4","2474,7","483,4","538,5","754,9","697,9","19289,5","9087,9","1221,3","6208,7","2771,6"
7,"34023,5","12705,5","3841,6","4233,4","2204,2","2426,3","2232,1","477,4","646,3","405,6","702,8","19085,8","9286,6","1284,1","5720,9","2794,2"
8,"34325,1","12580,1","3717,7","4300,1","2156,6","2405,7","2339,7","450,9","752,7","429,5","706,7","19405,3","9665,9","1439,1","5472,2","2828,0"
9,"34230,5","12705,5","3880,6","4370,9","2065,9","2388,1","2061,7","454,7","498,5","342,5","766,0","19463,3","9792,3","1524,7","5310,1","2836,3"
10,"34991,3","12564,1","3891,1","4250,6","2076,4","2346,0","1929,3","479,5","500,5","312,7","636,6","20497,8","9776,3","1677,8","6258,7","2785,0"
11,"35128,8","12524,9","3855,4","4379,8","1931,7","2358,1","1925,2","476,8","505,1","301,9","641,4","20678,7","10287,2","1736,8","5789,8","2864,9"
12,"36965,1","12947,8","4124,6","4521,5","1939,8","2361,8","2365,8","491,7","758,9","453,5","661,7","21651,6","10385,0","1962,1","6224,2","3080,2"
2024,,,,,,,,,,,,,,,,
1,"37588,9","13116,2","3900,2","4630,7","2101,6","2483,7","2729,8","497,3","828,5","660,1","743,9","21743,0","10301,1","1783,3","6234,7","3423,9"
2,"37154,2","13267,2","3899,9","4679,5","2191,5","2496,3","2311,2","538,3","577,9","505,2","689,8","21575,9","10629,7","1851,8","5483,0","3611,4"
3,"37127,6","13150,5","3814,4","4715,1","2108,2","2512,9","2600,4","618,7","626,5","714,2","641,1","21376,7","10150,5","1999,2","5808,8","3418,2"
4,"37547,3","13497,0","4003,7","4869,5","2076,5","2547,4","2552,0","627,1","581,2","709,0","634,7","21498,2","9642,3","2081,8","6409,8","3364,3"
5,"37471,6","13678,7","3957,2","4975,4","2093,9","2652,2","2628,5","364,0","915,2","674,4","674,9","21164,4","9815,2","2186,7","5659,2","3503,4"
6,"38212,9","14180,7","4371,6","4998,0","2056,2","2754,8","2981,2","362,8","1175,1","790,8","652,6","21051,0","9748,1","2340,5","5692,5","3269,8"
7,"36976,6","13963,3","3971,3","5281,6","1922,7","2787,7","2440,6","378,4","951,7","507,1","603,3","20572,7","9514,5","2373,6","5170,9","3513,8"
8,"37397,5","14185,5","4002,7","5368,9","1965,8","2848,1","2232,9","373,1","764,6","493,0","602,2","20979,1","9252,5","2466,1","5881,9","3378,6"
9,"38335,4","14164,0","3974,9","5371,9","1944,7","2872,5","2695,8","428,3","1011,0","681,9","574,6","21475,7","9927,7","2561,9","6000,4","2985,6"
10,"37022,1","14266,0","4034,7","5447,1","1914,1","2870,2","3023,6","370,3","1377,3","678,7","597,4","19732,5","8577,8","2611,1","5584,4","2959,2"
11,"37627,1","14235,6","3912,3","5468,2","1948,1","2906,9","2834,9","390,5","1106,5","597,6","740,3","20556,7","9112,5","2702,7","5800,1","2941,4"
12,"40270,8","14661,9","4149,9","5580,2","1909,1","3022,8","3076,5","509,2","901,6","891,5","774,2","22532,4","10783,9","2867,1","5829,9","3051,5"
2025,,,,,,,,,,,,,,,,
1,"40175,2","14698,7","4074,2","5706,9","1875,5","3042,0","3720,0","508,9","1485,9","1007,3","717,8","21756,6","9049,7","2914,8","6711,6","3080,5"
2,"40420,5","14835,9","4191,6","5741,2","1837,5","3065,6","3625,7","569,8","1013,0","1327,6","715,2","21958,9","9157,1","3032,8","6751,2","3017,9"
3,"40474,7","15074,0","4211,1","5879,1","1851,3","3132,5","3782,0","493,5","1399,9","1085,1","803,5","21618,7","8830,9","2799,9","6959,6","3028,3"
4,"41433,5","14853,0","3921,0","6002,3","1793,7","3136,0","3350,4","620,4","1139,6","725,1","865,3","23230,1","8789,2","4345,7","7278,9","2816,3"
5,"43207,1","15063,0","4024,2","6111,8","1838,0","3089,1","3305,2","607,4","1053,2","726,9","917,6","24838,9","8754,5","4741,9","8576,3","2766,2"
6,"42954,0","15437,0","4199,8","6244,2","1827,0","3166,0","3203,3","575,1","1128,3","670,4","829,4","24313,7","9201,8","5124,0","7040,4","2947,5"
7,"41776,1","15456,1","4124,9","6347,2","1809,1","3174,8","3075,8","378,2","1121,2","774,1","802,2","23244,2","8920,3","4921,3","6418,0","2984,7"
8,"41441,3","15460,6","4058,5","6437,0","1839,1","3126,0","3214,3","350,0","1197,9","765,1","901,4","22766,4","8960,3","4382,6","6439,4","2984,1"
9,"41700,9","15794,8","4189,4","6598,6","1883,1","3123,7","3692,6","389,1","1567,1","839,1","897,3","22213,5","8925,9","4066,9","6175,9","3044,8"
10,"41589,4","15907,1","4194,6","6748,8","1826,8","3136,9","3539,4","367,3","1409,3","772,6","990,2","22142,9","8500,3","4702,7","5923,6","3016,3"
11,"43281,2","16181,8","4145,1","6865,9","2070,7","3100,0","3496,1","326,7","1419,1","749,4","1000,9","23603,3","8831,5","5272,5","6465,5","3033,9"
12,"41726,3","16772,4","4528,4","7074,5","1926,0","3243,5","3921,0","523,8","1293,3","854,1","1249,9","21032,9","10318,8","2619,2","5038,9","3056,1"
2026,,,,,,,,,,,,,,,,
1,"41319,6","16666,6","4233,1","7242,7","1955,5","3235,3","4891,0","436,1","2500,5","957,4","997,0","19762,0","8813,4","2693,8","5154,9","3099,9"
